Metric,Value
CaseId,case_000197
Transcript,Afghanistan is famous for its ancient Bamiyan Buddhas. How can I help you today?
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.8758
EstimatedTextDurationSec,3.30159
AudioDurationSec,4.45687
EffectiveSegmentScaleMax,1.24052
ScaleCapHitCount,0
CommitLeadMeanSec,0.045803
MaxVisiblePoseGapSec,0.166667
VisiblePoseGapCountOver250ms,0
