ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,11_Oo,guinea,0,0,0.0936957,0.506021,0.46,0.552042,0.94,0.066021,0.09,1.16946
1,1,11_Oo,guinea,0,0,0.16303,0.587105,0.501638,0.672573,0.94,0.0671055,0.09,1.16946
2,2,03_Ee,guinea,0,0,0.234239,0.670381,0.617786,0.722977,0.86,0.0703815,0.09,1.16946
3,3,04_Ih,is,1,0,0.370013,0.829164,0.798682,0.859645,0.329296,0.0691636,0.09,1.16946
4,4,09_Oh,known,2,0,0.557915,1.04891,0.984161,1.11366,0.82,0.0889086,0.09,1.16946
5,5,20_FV,for,3,0,0.66575,1.17502,1.14752,1.20252,1,0.0550181,0.09,1.16946
6,6,10_Or,for,3,0,0.736278,1.2575,1.22702,1.28798,0.26802,0.0574973,0.09,1.16946
7,7,04_Ih,its,4,0,0.92418,1.47724,1.41249,1.54199,0.620289,0.0772425,0.09,1.16946
8,8,04_Ih,rich,5,0,1.13712,1.72627,1.66153,1.79102,0.22,0.0862738,0.09,1.16946
9,9,14_ChJjSh,rich,5,0,1.15203,1.74371,1.71382,1.77359,0.682,0.0637059,0.09,1.16946
10,10,22_MBP,minerals,6,0,1.26489,1.87569,1.8219,1.92948,1,0.0756925,0.09,1.16946
11,11,14_ChJjSh,minerals,6,0,1.43354,2.01569,1.96638,2.065,0.661,0.0556928,0.09,1.16946
12,12,07_Aa,minerals,6,0,1.44888,2.09085,2.00335,2.17835,0.86,0.0508554,0.09,1.16946
13,13,07_Aa,minerals,6,0,1.54087,2.19844,2.1312,2.26567,0.86,0.0784371,0.09,1.16946
14,14,07_Aa,and,7,0,1.69879,2.38312,2.35264,2.4136,0.86,0.0631187,0.09,1.16946
15,15,20_FV,vibrant,8,0,1.79691,2.49787,2.45842,2.53732,1,0.0578723,0.09,1.16946
16,16,22_MBP,vibrant,8,0,1.86357,2.57583,2.53638,2.61527,1,0.0558264,0.09,1.16946
17,17,07_Aa,vibrant,8,0,1.92621,2.64908,2.56362,2.73455,0.86,0.0890841,0.09,1.16946
18,18,22_MBP,music,9,0,2.07238,2.82002,2.78057,2.85946,1,0.0600193,0.09,1.16946
19,19,18_Uh,music,9,0,2.1286,2.88576,2.83974,2.93178,0.68,0.0857635,0.09,1.16946
20,20,04_Ih,music,9,0,2.2073,2.9778,2.89234,3.06327,0.266409,0.0578055,0.09,1.16946
21,21,12_Ww-Oo-,what,10,1,2.76394,3.0478,3.0203,3.0753,1,0.0894897,0.09,1
22,22,07_Aa,what,10,1,2.8314,3.07142,3.04075,3.10208,0.86,0.0714169,0.09,1
23,23,07_Aa,can,11,1,2.98472,3.19027,3.16277,3.21777,0.86,0.070271,0.09,1
24,24,05_Ay,i,12,1,3.13498,3.48052,3.44373,3.51732,0.84,0.0805252,0.09,1
25,25,09_Oh,offer,13,1,3.23055,3.71609,3.67674,3.75545,0.82,0.0760951,0.09,1
26,26,20_FV,offer,13,1,3.28676,3.83731,3.80358,3.87104,1,0.0773125,0.09,1
27,27,06_Eh,offer,13,1,3.36547,3.96632,3.89323,4.0394,0.74,0.0863175,0.09,1
28,28,11_Oo,you,14,1,3.60277,4.26793,4.19107,4.3448,1,0.067934,0.09,1.00268
29,29,11_Oo,today,15,1,3.79204,4.46771,4.42532,4.5101,0.94,-0.719162,0.15,1.00536
30,30,05_Ay,today,15,1,3.91572,4.59205,4.53271,4.6514,0.84,-0.594821,0.15,1.00536
