Metric,Value
CaseId,case_000214
Transcript,Guinea is known for its rich minerals and vibrant music. What can I offer you today?
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0322581
PeakTimingMAEMs,10.1078
EstimatedTextDurationSec,3.67756
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.16946
ScaleCapHitCount,0
CommitLeadMeanSec,0.0237698
MaxVisiblePoseGapSec,0.183336
VisiblePoseGapCountOver250ms,0
