word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,coral,0.450000,0.970000,0,-1,-1
1,and,1.120000,1.270000,0,-1,-1
2,algae,1.270000,1.820000,0,-1,-1
3,or,1.980000,2.130000,1,-1,-1
4,bees,2.130000,2.510000,1,-1,-1
5,and,2.510000,2.700000,1,-1,-1
6,flowers,2.700000,3.290000,1,-1,-1
7,both,3.980000,4.270000,2,-1,-1
8,need,4.270000,4.500000,2,-1,-1
9,each,4.500000,4.690000,2,-1,-1
10,other,4.690000,4.900000,2,-1,-1
11,to,4.900000,5.040000,2,-1,-1
12,thrive,5.040000,5.580000,2,-1,-1
