index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,maybe,0,0,0,0.017045,1.000000,M,0,cmu_bilabial
1,06_Eh,maybe,0,0,0,0.051136,0.920000,EY,1,cmu_eh_vowel
2,03_Ee,maybe,0,0,0,0.119318,0.500000,IY,3,cmu_front_vowel
3,11_Oo,you,1,0,0,0.204545,0.920000,UW,1,cmu_oo_vowel
4,22_MBP,meant,2,0,0,0.238636,1.000000,M,0,cmu_bilabial
5,06_Eh,meant,2,0,0,0.261364,0.920000,EH,1,cmu_eh_vowel
6,22_MBP,beijing,3,0,0,0.331818,1.000000,B,0,cmu_bilabial
7,06_Eh,beijing,3,0,0,0.359091,0.920000,EY,1,cmu_eh_vowel
8,14_ChJjSh,beijing,3,0,0,0.386364,0.820000,ZH,2,cmu_affricate_sibilant
9,03_Ee,beijing,3,0,0,0.413636,0.920000,IH,3,cmu_front_vowel
10,03_Ee,it's,4,1,1,0.469697,0.920000,IH,0,cmu_front_vowel
11,09_Oh,known,5,1,1,0.590909,0.920000,OW,1,cmu_oh_vowel
12,20_FV,for,6,1,1,0.651515,0.960000,F,0,cmu_fv
13,09_Oh,for,6,1,1,0.681818,0.920000,AO,1,cmu_oh_vowel
14,07_Aa,the,7,1,1,0.795455,0.500000,AH,1,cmu_open_vowel
15,06_Eh,great,8,1,1,0.875000,0.920000,EY,2,cmu_eh_vowel
16,12_Ww-Oo-,wall,9,1,1,0.924242,0.880000,W,0,cmu_w
17,09_Oh,wall,9,1,1,0.954545,0.920000,AO,1,cmu_oh_vowel
