word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.030000,0.370000,0,-1,-1
1,got,0.370000,0.650000,0,-1,-1
2,sandwiches,0.650000,1.460000,0,-1,-1
3,for,1.460000,1.650000,0,-1,-1
4,five,1.650000,2.220000,0,-1,-1
5,dollars,2.220000,2.710000,0,-1,-1
6,and,2.710000,2.860000,0,-1,-1
7,chips,2.860000,3.300000,0,-1,-1
8,for,3.300000,3.470000,0,-1,-1
9,two,3.470000,3.920000,0,-1,-1
10,what'll,4.490000,4.860000,1,-1,-1
11,it,4.860000,4.980000,1,-1,-1
12,be,4.980000,5.340000,1,-1,-1
