Metric,Value
CaseId,case_000206
Transcript,"China is vast, with the Great Wall and the Himalayas. What can I offer you today?"
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.52778
EstimatedTextDurationSec,3.8014
AudioDurationSec,4.93687
EffectiveSegmentScaleMax,1.21281
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0135776
MaxVisiblePoseGapSec,0.2
VisiblePoseGapCountOver250ms,0
