EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,14_ChJjSh,FVS,china,0,0,0,0.0187456,0.0356297,0.853565,SimpleBudgetV1
1,07_Aa,AAA,china,0,0,0.0249941,0.0656095,0.17221,0.86,SimpleBudgetV1
2,07_Aa,AAA,china,0,0,0.0577988,0.0827929,0.267222,0.86,SimpleBudgetV1
3,04_Ih,EEE,is,1,0,0.0955739,0.110059,0.390847,0.22,SimpleBudgetV1
4,20_FV,FVS,vast,2,0,0.12071,0.134911,0.485859,1,SimpleBudgetV1
5,07_Aa,AAA,vast,2,0,0.139645,0.170414,0.589329,0.86,SimpleBudgetV1
6,12_Ww-Oo-,WUH,with,3,1,0.211243,0.230177,0.839007,1,SimpleBudgetV1
7,04_Ih,EEE,with,3,1,0.231361,0.26213,0.937978,0.22,SimpleBudgetV1
8,24_Tongue_Th,FVS,with,3,1,0.242308,0.256509,0.9481,0.42,SimpleBudgetV1
9,24_Tongue_Th,FVS,the,4,1,0.272988,0.282988,1.05674,0.42,SimpleBudgetV1
10,06_Eh,EEE,the,4,1,0.290343,0.30568,1.13286,0.74,SimpleBudgetV1
11,03_Ee,EEE,great,5,1,0.333136,0.363905,1.32487,0.86,SimpleBudgetV1
12,12_Ww-Oo-,WUH,wall,6,1,0.372189,0.391124,1.45083,1,SimpleBudgetV1
13,07_Aa,AAA,wall,6,1,0.392308,0.423077,1.5498,0.86,SimpleBudgetV1
14,07_Aa,AAA,and,7,1,0.450012,0.464497,1.73821,0.86,SimpleBudgetV1
15,24_Tongue_Th,FVS,the,8,1,0.476538,0.486538,1.83052,0.42,SimpleBudgetV1
16,06_Eh,EEE,the,8,1,0.493894,0.509231,1.90664,0.74,SimpleBudgetV1
17,22_MBP,MBP,himalayas,9,1,0.534556,0.560118,2.08065,1,SimpleBudgetV1
18,14_ChJjSh,FVS,himalayas,9,1,0.56355,0.586982,2.18682,0.661,SimpleBudgetV1
19,05_Ay,EEE,himalayas,9,1,0.551834,0.607219,2.20301,0.84,SimpleBudgetV1
20,05_Ay,EEE,himalayas,9,1,0.589112,0.621065,2.30018,0.84,SimpleBudgetV1
21,12_Ww-Oo-,WUH,what,10,2,0.655527,0.670012,2.51945,1,SimpleBudgetV1
22,07_Aa,AAA,what,10,2,0.672994,0.690036,2.59071,0.86,SimpleBudgetV1
23,07_Aa,AAA,can,11,2,0.716876,0.731361,2.75266,0.86,SimpleBudgetV1
24,05_Ay,EEE,i,12,2,0.755645,0.776095,2.91138,0.84,SimpleBudgetV1
25,09_Oh,OOO,offer,13,2,0.781491,0.803361,3.01233,0.82,SimpleBudgetV1
26,20_FV,FVS,offer,13,2,0.798675,0.81742,3.07171,1,SimpleBudgetV1
27,06_Eh,EEE,offer,13,2,0.80961,0.850225,3.15484,0.74,SimpleBudgetV1
28,11_Oo,OOO,you,14,2,0.874556,0.91716,3.40551,1,SimpleBudgetV1
29,11_Oo,OOO,today,15,2,0.936734,0.960166,3.60543,1,SimpleBudgetV1
30,05_Ay,EEE,today,15,2,0.966414,0.999219,3.73608,0.84,SimpleBudgetV1
