Metric,Value
CaseId,case_000150
Transcript,That's wonderful! We might have some saffron threads in our spices section.
PlannedEventCount,27
CommittedEventCount,27
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.4151
EstimatedTextDurationSec,2.78514
AudioDurationSec,4.45687
EffectiveSegmentScaleMax,1.25164
ScaleCapHitCount,0
CommitLeadMeanSec,0.0699113
MaxVisiblePoseGapSec,0.233333
VisiblePoseGapCountOver250ms,0
