word_index,word,start,end,speech_region_index,sentence_index
0,the,0.440000,0.530000,0,-1
1,children,0.530000,1.090000,0,-1
2,built,1.090000,1.390000,0,-1
3,a,1.390000,1.420000,0,-1
4,tiny,1.420000,2.020000,0,-1
5,town,2.020000,2.460000,0,-1
6,from,2.460000,2.700000,0,-1
7,boxes,2.700000,3.300000,0,-1
8,and,3.300000,3.520000,0,-1
9,colored,3.520000,3.900000,0,-1
10,paper,3.900000,4.400000,0,-1
11,they,4.860000,5.020000,1,-1
12,added,5.020000,5.370000,1,-1
13,roads,5.370000,6.000000,1,-1
14,bridges,6.190000,6.830000,2,-1
15,gardens,6.980000,7.610000,3,-1
16,a,7.800000,7.850000,4,-1
17,hospital,7.850000,8.600000,4,-1
18,and,8.850000,8.990000,5,-1
19,a,8.990000,9.030000,5,-1
20,busy,9.030000,9.400000,5,-1
21,station,9.400000,10.090000,5,-1
22,where,10.150000,10.440000,5,-1
23,every,10.440000,10.730000,5,-1
24,paper,10.730000,11.110000,5,-1
25,train,11.110000,11.490000,5,-1
26,arrived,11.530000,12.090000,5,-1
27,precisely,12.090000,12.770000,5,-1
28,on,12.770000,12.940000,5,-1
29,time,12.940000,13.410000,5,-1
