Metric,Value
CaseId,case_000273
Transcript,Puna's got beautiful landscapes and vibrant culture. Enjoy your visit!
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.1505
EstimatedTextDurationSec,4.81572
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.238
ScaleCapHitCount,0
CommitLeadMeanSec,0.0404872
MaxVisiblePoseGapSec,0.616666
VisiblePoseGapCountOver250ms,2
