ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,22_MBP,puna's,0,0,0.0530131,0.46563,0.4,0.53126,1,0.0656303,0.09,1.238
1,1,18_Uh,puna's,0,0,0.180726,0.60563,0.522101,0.68916,0.68,0.0856303,0.09,1.238
2,2,07_Aa,puna's,0,0,0.279523,0.74563,0.65813,0.83313,0.86,0.0656302,0.09,1.238
3,3,07_Aa,puna's,0,0,0.421695,0.88563,0.79813,0.97313,0.94,0.0856301,0.09,1.238
4,4,07_Aa,got,1,0,0.629147,1.17888,1.10078,1.25699,0.86,0.058884,0.09,1.238
5,5,22_MBP,beautiful,2,0,0.810531,1.40344,1.31594,1.49094,1,0.0834371,0.09,1.238
6,6,03_Ee,beautiful,2,0,0.927364,1.54344,1.45594,1.63094,0.86,0.0634372,0.09,1.238
7,7,03_Ee,beautiful,2,0,1.12598,1.68344,1.59594,1.77094,0.86,0.0834373,0.09,1.238
8,8,20_FV,beautiful,2,0,1.21945,1.82344,1.73594,1.91094,1,0.0634375,0.09,1.238
9,9,07_Aa,landscapes,3,0,1.52029,2.26428,2.17678,2.35178,0.94,0.0821233,0.09,1.238
10,10,14_ChJjSh,landscapes,3,0,1.75688,2.40428,2.31678,2.49178,0.682,0.0842834,0.09,1.238
11,11,07_Aa,landscapes,3,0,1.78317,2.49557,2.40807,2.58307,0.86,0.0618274,0.09,1.238
12,12,22_MBP,landscapes,3,0,1.89489,2.63557,2.54807,2.72307,1,0.0755713,0.09,1.238
13,13,07_Aa,and,4,0,2.21165,2.70557,2.66811,2.74303,0.86,-0.0144286,0.09,0.838313
14,14,20_FV,vibrant,5,0,2.37989,2.74763,2.69915,2.79611,1,0.0276313,0.09,0.838313
15,15,22_MBP,vibrant,5,0,2.49418,2.78763,2.73915,2.83611,1,0.0676312,0.09,0.838313
16,16,07_Aa,vibrant,5,0,2.60158,2.82522,2.73772,2.91272,0.86,0.0652223,0.09,0.838313
17,17,18_Uh,culture,6,0,2.90727,2.89522,2.83866,2.95178,0.84,0.0552223,0.09,0.838313
18,18,06_Eh,culture,6,0,3.08352,2.98496,2.89746,3.07246,0.74,0.0649581,0.09,0.838313
19,19,06_Eh,enjoy,7,1,3.83493,3.71776,3.65029,3.78523,0.84,-0.589117,0.15,1
20,20,03_Ee,enjoy,7,1,4.06626,3.85776,3.77026,3.94526,0.86,-0.449116,0.15,1
21,21,03_Ee,enjoy,7,1,4.17229,3.99776,3.92065,4.07487,0.86,-0.309116,0.15,1
22,22,10_Or,your,8,1,4.48774,4.37056,4.28306,4.45807,0.75,0.0636897,0.15,1
23,23,20_FV,visit,9,1,4.69162,4.57444,4.51661,4.63227,1,0.267564,0.15,1
24,24,04_Ih,visit,9,1,4.77836,4.66119,4.59372,4.72866,0.68,0.354312,0.15,1
25,25,04_Ih,visit,9,1,4.91331,4.79613,4.70863,4.88363,0.581311,0.489255,0.15,1
