word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,maybe,2.380000,2.800000,0,-1,-1
1,try,2.800000,3.200000,0,-1,-1
2,the,3.200000,3.330000,0,-1,-1
3,horse,3.330000,3.780000,0,-1,-1
4,riding,3.780000,4.180000,0,-1,-1
5,in,4.180000,4.290000,0,-1,-1
6,almaty,4.290000,5.000000,0,-1,-1
7,or,5.060000,5.240000,0,-1,-1
8,visit,5.240000,5.590000,0,-1,-1
9,the,5.590000,5.670000,0,-1,-1
10,kokshetau,5.670000,6.450000,0,-1,-1
11,observatory,6.450000,7.340000,0,-1,-1
12,want,7.840000,8.040000,1,-1,-1
13,a,8.040000,8.080000,1,-1,-1
14,sandwich,8.080000,8.740000,1,-1,-1
