word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,gotcha,0.230000,0.730000,0,-1,-1
1,how,1.210000,1.480000,1,-1,-1
2,about,1.480000,1.890000,1,-1,-1
3,the,1.920000,2.070000,1,-1,-1
4,last,2.070000,2.520000,1,-1,-1
5,of,2.520000,2.620000,1,-1,-1
6,us,2.620000,2.950000,1,-1,-1
7,red,3.590000,3.920000,2,-1,-1
8,dead,3.920000,4.130000,2,-1,-1
9,redemption,4.130000,4.660000,2,-1,-1
10,2,4.660000,5.040000,2,-1,-1
11,or,5.340000,5.490000,3,-1,-1
12,hades,5.490000,6.020000,3,-1,-1
13,different,7.340000,7.710000,4,-1,-1
14,vibes,7.710000,8.200000,4,-1,-1
15,all,8.650000,8.880000,5,-1,-1
16,great,8.880000,9.176875,5,-1,-1
