ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,04_Ih,i'm,0,0,0.0581517,0.490357,0.45,0.530715,0.363811,0.0903573,0.12,1.09579
1,1,22_MBP,i'm,0,0,0.147318,0.597151,0.569651,0.624651,1,0.117151,0.12,1.16791
2,2,10_Or,sorry,1,0,0.270599,0.781001,0.733436,0.828567,0.68,0.101001,0.12,1.32785
3,3,03_Ee,sorry,1,0,0.342242,0.878577,0.791077,0.966077,0.86,0.118577,0.12,1.33546
4,4,03_Ee,sorry,1,0,0.42412,0.992525,0.937385,1.04766,0.86,0.112525,0.12,1.34689
5,5,05_Ay,i,2,1,0.934474,1.28393,1.24708,1.32077,0.84,0.0839276,0.12,1.1
6,6,09_Oh,don't,3,1,1.10831,1.5005,1.44506,1.55594,0.82,0.100502,0.12,1.1
7,7,09_Oh,know,4,1,1.30215,1.74014,1.6847,1.79557,0.82,0.100136,0.12,1.1
8,8,07_Aa,any,5,1,1.4262,1.8935,1.8541,1.93291,0.86,0.0935026,0.12,1.1
9,9,03_Ee,any,5,1,1.53196,2.02251,1.94934,2.09569,0.86,0.102515,0.12,1.1
10,10,03_Ee,any,5,1,1.59678,2.10121,2.05618,2.14624,0.86,0.101212,0.12,1.1
11,11,20_FV,fun,6,1,1.66269,2.18005,2.15255,2.20755,1,0.100046,0.12,1.1
12,12,18_Uh,fun,6,1,1.75185,2.27813,2.22269,2.33357,0.22,0.118129,0.12,1.1
13,13,20_FV,facts,7,1,1.85653,2.40578,2.37828,2.43328,1,-0.621098,0.15,1.1
14,14,07_Aa,facts,7,1,1.94569,2.50386,2.44842,2.5593,0.86,-0.523015,0.15,1.1
15,15,07_Aa,about,8,1,2.06293,2.63282,2.60532,2.66032,0.86,-0.394058,0.15,1.1
16,16,22_MBP,about,8,1,2.1141,2.68911,2.65533,2.72288,1,-0.337768,0.15,1.1
17,17,11_Oo,about,8,1,2.21133,2.79606,2.73695,2.85517,0.94,-0.230815,0.15,1.1
18,18,14_ChJjSh,chechi,9,1,2.31368,2.90864,2.87487,2.94242,0.740272,-0.118233,0.15,1.1
19,19,06_Eh,chechi,9,1,2.43138,3.03811,2.96493,3.11129,0.74,0.0112357,0.15,1.1
20,20,04_Ih,chechi,9,1,2.50771,3.12208,3.08783,3.15632,0.72,0.0952027,0.15,1.1
