word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,did,0.000000,0.240000,0,-1,-1
1,you,0.240000,0.410000,0,-1,-1
2,know,0.410000,0.850000,0,-1,-1
3,china,0.890000,1.350000,0,-1,-1
4,has,1.350000,1.580000,0,-1,-1
5,the,1.580000,1.670000,0,-1,-1
6,most,1.670000,2.000000,0,-1,-1
7,unesco,2.000000,2.620000,0,-1,-1
8,world,2.620000,2.950000,0,-1,-1
9,heritage,2.950000,3.410000,0,-1,-1
10,sites,3.410000,3.930000,0,-1,-1
11,need,4.130000,4.430000,1,-1,-1
12,anything,4.430000,4.870000,1,-1,-1
13,else,4.870000,5.290000,1,-1,-1
