Metric,Value
CaseId,case_000088
Transcript,"Confusion can be a tasty thing too. Let me clear it up. How about a sandwich and a bag of chips? Five and two, just like always."
PlannedEventCount,47
CommittedEventCount,47
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0212766
PeakTimingMAEMs,11.6771
EstimatedTextDurationSec,6.77252
AudioDurationSec,8.13688
EffectiveSegmentScaleMax,1.12183
ScaleCapHitCount,0
CommitLeadMeanSec,0.0290001
MaxVisiblePoseGapSec,0.416672
VisiblePoseGapCountOver250ms,1
