index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,03_Ee,rio,0,0,0,0.075000,0.920000,IY,1,cmu_front_vowel
1,09_Oh,rio,0,0,0,0.125000,0.500000,OW,2,cmu_oh_vowel
2,07_Aa,has,1,0,0,0.200000,0.920000,AE,1,cmu_open_vowel
3,22_MBP,amazing,2,0,0,0.312500,1.000000,M,1,cmu_bilabial
4,06_Eh,amazing,2,0,0,0.354167,0.920000,EY,2,cmu_eh_vowel
5,22_MBP,beaches,3,0,0,0.515000,1.000000,B,0,cmu_bilabial
6,03_Ee,beaches,3,0,0,0.545000,0.920000,IY,1,cmu_front_vowel
7,14_ChJjSh,beaches,3,0,0,0.575000,0.820000,CH,2,cmu_affricate_sibilant
8,07_Aa,and,4,0,0,0.666667,0.500000,AH,0,cmu_open_vowel
9,07_Aa,carnival,5,0,0,0.796875,0.920000,AA,1,cmu_open_vowel
10,20_FV,carnival,5,0,0,0.921875,0.960000,V,5,cmu_fv
