EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,09_Oh,OOO,north,0,0,0.0178671,0.0469012,0.223006,0.82,SimpleBudgetV1
1,24_Tongue_Th,FVS,north,0,0,0.0323841,0.0457845,0.269145,0.42,SimpleBudgetV1
2,22_MBP,MBP,macedonia,1,0,0.0534673,0.081876,0.466006,1,SimpleBudgetV1
3,24_Tongue_Th,FVS,macedonia,1,0,0.104366,0.130408,0.808359,0.42,SimpleBudgetV1
4,07_Aa,AAA,macedonia,1,0,0.093713,0.155265,0.857267,0.86,SimpleBudgetV1
5,07_Aa,AAA,macedonia,1,0,0.135142,0.170653,1.0529,0.94,SimpleBudgetV1
6,04_Ih,EEE,is,2,0,0.190687,0.204355,1.36018,0.54,SimpleBudgetV1
7,06_Eh,EEE,home,3,0,0.232272,0.261307,1.69946,0.74,SimpleBudgetV1
8,22_MBP,MBP,home,3,0,0.242602,0.256002,1.71676,1,SimpleBudgetV1
9,11_Oo,OOO,to,4,0,0.287527,0.302803,2.03259,0.94,SimpleBudgetV1
10,24_Tongue_Th,FVS,the,5,0,0.311471,0.321471,2.17931,0.42,SimpleBudgetV1
11,06_Eh,EEE,the,5,0,0.32813,0.342602,2.30942,0.74,SimpleBudgetV1
12,07_Aa,AAA,ancient,6,0,0.34622,0.366857,2.45522,0.94,SimpleBudgetV1
13,03_Ee,EEE,ancient,6,0,0.374227,0.412552,2.70899,0.86,SimpleBudgetV1
14,04_Ih,EEE,city,7,0,0.441664,0.4623,3.11247,0.680765,SimpleBudgetV1
15,03_Ee,EEE,city,7,0,0.447929,0.486253,3.21652,0.86,SimpleBudgetV1
16,03_Ee,EEE,city,7,0,0.477041,0.500625,3.36624,0.94,SimpleBudgetV1
17,09_Oh,OOO,of,8,0,0.514528,0.528197,3.59025,0.82,SimpleBudgetV1
18,20_FV,FVS,of,8,0,0.523197,0.533197,3.63731,1,SimpleBudgetV1
19,04_Ih,EEE,stobi,9,0,0.561831,0.600156,4.00089,0.227022,SimpleBudgetV1
20,22_MBP,MBP,stobi,9,0,0.580994,0.598682,4.06179,1,SimpleBudgetV1
21,04_Ih,EEE,stobi,9,0,0.592786,0.616371,4.1633,0.72,SimpleBudgetV1
22,12_Ww-Oo-,WUH,with,10,1,0.641541,0.659408,4.47935,1,SimpleBudgetV1
23,04_Ih,EEE,with,10,1,0.660525,0.689559,4.64853,0.22,SimpleBudgetV1
24,24_Tongue_Th,FVS,with,10,1,0.670854,0.684255,4.66583,0.42,SimpleBudgetV1
25,12_Ww-Oo-,WUH,well,11,1,0.697063,0.719933,4.87891,1,SimpleBudgetV1
26,06_Eh,EEE,well,11,1,0.721362,0.758526,5.09546,0.74,SimpleBudgetV1
27,22_MBP,MBP,preserved,12,1,0.767951,0.792071,5.37137,1,SimpleBudgetV1
28,06_Eh,EEE,preserved,12,1,0.783808,0.811949,5.49441,0.74,SimpleBudgetV1
29,06_Eh,EEE,preserved,12,1,0.802122,0.854383,5.70358,0.74,SimpleBudgetV1
30,20_FV,FVS,preserved,12,1,0.830486,0.854606,5.80201,1,SimpleBudgetV1
31,09_Oh,OOO,roman,13,1,0.882256,0.902892,6.14651,0.82,SimpleBudgetV1
32,22_MBP,MBP,roman,13,1,0.89847,0.916159,6.24802,1,SimpleBudgetV1
33,07_Aa,AAA,roman,13,1,0.894048,0.932373,6.28862,0.86,SimpleBudgetV1
34,11_Oo,OOO,ruins,14,1,0.962032,0.991066,6.72479,1,SimpleBudgetV1
