Metric,Value
CaseId,case_000174
Transcript,"North Macedonia is home to the ancient city of Stobi, with well-preserved Roman ruins."
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.1567
EstimatedTextDurationSec,6.88628
AudioDurationSec,4.77688
EffectiveSegmentScaleMax,1.33807
ScaleCapHitCount,0
CommitLeadMeanSec,0.178638
MaxVisiblePoseGapSec,0.383333
VisiblePoseGapCountOver250ms,2
