index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,bolivia,0,0,0,0.018634,1.000000,B,0,cmu_bilabial
1,03_Ee,bolivia,0,0,0,0.130435,0.920000,IH,3,cmu_front_vowel
2,20_FV,bolivia,0,0,0,0.167702,0.960000,V,4,cmu_fv
3,03_Ee,bolivia,0,0,0,0.204969,0.500000,IY,5,cmu_front_vowel
4,05_Ay,is,1,0,0,0.282609,0.940000,AY,0,cmu_ay
5,12_Ww-Oo-,where,2,0,0,0.362319,0.880000,W,0,cmu_w
6,06_Eh,where,2,0,0,0.391304,0.920000,EH,1,cmu_eh_vowel
7,11_Oo,you'll,3,0,0,0.478261,0.920000,UW,1,cmu_oo_vowel
8,20_FV,find,4,0,0,0.532609,0.960000,F,0,cmu_fv
9,05_Ay,find,4,0,0,0.554348,0.940000,AY,1,cmu_ay
10,07_Aa,the,5,0,0,0.673913,0.500000,AH,1,cmu_open_vowel
11,12_Ww-Oo-,world's,6,0,0,0.704348,0.880000,W,0,cmu_w
12,06_Eh,world's,6,0,0,0.721739,0.920000,ER,1,cmu_eh_vowel
13,05_Ay,highest,7,0,0,0.821739,0.940000,AY,1,cmu_ay
14,06_Eh,lake,8,0,0,0.956522,0.920000,EY,1,cmu_eh_vowel
