Metric,Value
CaseId,case_000190
Transcript,"Syria has a rich history, but it's been through tough times lately."
PlannedEventCount,26
CommittedEventCount,26
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0384615
PeakTimingMAEMs,11.1871
EstimatedTextDurationSec,2.681
AudioDurationSec,4.61688
EffectiveSegmentScaleMax,1.25063
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0323378
MaxVisiblePoseGapSec,0.183333
VisiblePoseGapCountOver250ms,0
