EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,07_Aa,AAA,tianjin's,0,0,0.00631939,0.0391802,0.100364,0.94,SimpleBudgetV1
1,14_ChJjSh,FVS,tianjin's,0,0,0.0543467,0.082152,0.301091,0.783,SimpleBudgetV1
2,07_Aa,AAA,tianjin's,0,0,0.0404441,0.106166,0.323395,0.86,SimpleBudgetV1
3,07_Aa,AAA,tianjin's,0,0,0.0846798,0.122596,0.457213,0.86,SimpleBudgetV1
4,07_Aa,AAA,got,1,0,0.146063,0.175576,0.709479,0.86,SimpleBudgetV1
5,09_Oh,OOO,old,2,0,0.215201,0.259607,1.04734,0.82,SimpleBudgetV1
6,06_Eh,EEE,temples,3,0,0.281644,0.313207,1.31214,0.74,SimpleBudgetV1
7,22_MBP,MBP,temples,3,0,0.300002,0.327056,1.38318,1,SimpleBudgetV1
8,06_Eh,EEE,temples,3,0,0.309342,0.367959,1.494,0.74,SimpleBudgetV1
9,07_Aa,AAA,and,4,0,0.411204,0.432109,1.8602,0.86,SimpleBudgetV1
10,22_MBP,MBP,modern,5,0,0.445226,0.47228,2.02385,1,SimpleBudgetV1
11,09_Oh,OOO,modern,5,0,0.45988,0.491443,2.09845,0.82,SimpleBudgetV1
12,06_Eh,EEE,modern,5,0,0.483552,0.542169,2.26256,0.74,SimpleBudgetV1
13,07_Aa,AAA,skyscrapers,6,0,0.567891,0.607857,2.59349,0.94,SimpleBudgetV1
14,14_ChJjSh,FVS,skyscrapers,6,0,0.626302,0.66012,2.83761,0.682,SimpleBudgetV1
15,07_Aa,AAA,skyscrapers,6,0,0.609394,0.689325,2.86474,0.86,SimpleBudgetV1
16,22_MBP,MBP,skyscrapers,6,0,0.646565,0.683456,2.93379,1,SimpleBudgetV1
17,12_Ww-Oo-,WUH,worth,7,1,0.75918,0.786507,3.40951,1,SimpleBudgetV1
18,09_Oh,OOO,worth,7,1,0.788215,0.832622,3.57527,0.82,SimpleBudgetV1
19,24_Tongue_Th,FVS,worth,7,1,0.810418,0.830914,3.62048,0.42,SimpleBudgetV1
20,06_Eh,EEE,exploring,8,1,0.837062,0.880102,3.78775,0.74,SimpleBudgetV1
21,22_MBP,MBP,exploring,8,1,0.870538,0.90743,3.92187,1,SimpleBudgetV1
22,10_Or,OOO,exploring,8,1,0.904697,0.947737,4.08613,0.316158,SimpleBudgetV1
23,06_Eh,EEE,exploring,8,1,0.895474,0.975406,4.12682,0.74,SimpleBudgetV1
24,04_Ih,EEE,exploring,8,1,0.949274,0.995389,4.28957,0.751429,SimpleBudgetV1
