Metric,Value
CaseId,case_000017
Transcript,"One day, a little girl came in with her grandpa. He ordered the usual, but she just wanted to look around. She found a book about stars and asked if she could read it. Her grandpa said it was okay. I'll never forget how peaceful they looked together."
PlannedEventCount,83
CommittedEventCount,83
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0120482
PeakTimingMAEMs,9.74865
EstimatedTextDurationSec,12.0352
AudioDurationSec,13.4969
EffectiveSegmentScaleMax,1.2291
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0248705
MaxVisiblePoseGapSec,0.566658
VisiblePoseGapCountOver250ms,3
