Metric,Value
CaseId,case_000129
Transcript,"Angola is where the world's largest single diamond, the Lulo diamond, was discovered."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.70874
EstimatedTextDurationSec,3.43544
AudioDurationSec,5.09688
EffectiveSegmentScaleMax,1.20132
ScaleCapHitCount,0
CommitLeadMeanSec,0.0491975
MaxVisiblePoseGapSec,0.183333
VisiblePoseGapCountOver250ms,0
