Metric,Value
CaseId,case_000092
Transcript,"We've got kettle chips, you know them salted and crispy. Or maybe some flavored ones if you're feeling adventurous."
PlannedEventCount,42
CommittedEventCount,42
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.5679
EstimatedTextDurationSec,5.05866
AudioDurationSec,6.77688
EffectiveSegmentScaleMax,1.18361
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00798946
MaxVisiblePoseGapSec,0.233336
VisiblePoseGapCountOver250ms,0
