Metric,Value
CaseId,case_000057
Transcript,"Our sandwiches are customizable. You choose the cheese, bread, and any extra fixings like pickles or mustard."
PlannedEventCount,34
CommittedEventCount,34
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.90596
EstimatedTextDurationSec,9.03011
AudioDurationSec,6.85687
EffectiveSegmentScaleMax,1.27712
ScaleCapHitCount,0
CommitLeadMeanSec,0.137814
MaxVisiblePoseGapSec,1.2
VisiblePoseGapCountOver250ms,1
