word_index,word,start,end,speech_region_index,sentence_index
0,i,0.270000,0.380000,0,-1
1,see,0.380000,0.760000,0,-1
2,maybe,1.170000,1.460000,1,-1
3,then,1.460000,1.670000,1,-1
4,a,1.670000,1.730000,1,-1
5,thoughtful,1.730000,2.170000,1,-1
6,poem,2.170000,2.570000,1,-1
7,or,2.570000,2.670000,1,-1
8,a,2.670000,2.710000,1,-1
9,unique,2.710000,3.010000,1,-1
10,trinket,3.010000,3.390000,1,-1
11,could,3.390000,3.540000,1,-1
12,catch,3.540000,3.770000,1,-1
13,her,3.770000,3.910000,1,-1
14,eye,3.910000,4.230000,1,-1
