Metric,Value
CaseId,case_000124
Transcript,"Argentina is home to the Iguazu Falls, one of the largest waterfall systems in the world."
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.84459
EstimatedTextDurationSec,7.26667
AudioDurationSec,5.49687
EffectiveSegmentScaleMax,1.29488
ScaleCapHitCount,0
CommitLeadMeanSec,0.234798
MaxVisiblePoseGapSec,0.4
VisiblePoseGapCountOver250ms,3
