word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.170000,0.420000,0,-1,-1
1,got,0.420000,0.660000,0,-1,-1
2,sandwiches,0.660000,1.330000,0,-1,-1
3,for,1.330000,1.500000,0,-1,-1
4,five,1.500000,1.960000,0,-1,-1
5,dollars,1.960000,2.380000,0,-1,-1
6,and,2.380000,2.520000,0,-1,-1
7,chips,2.520000,2.810000,0,-1,-1
8,for,2.810000,2.960000,0,-1,-1
9,two,2.960000,3.340000,0,-1,-1
10,what'll,3.680000,4.030000,1,-1,-1
11,it,4.030000,4.210000,1,-1,-1
12,be,4.210000,4.530000,1,-1,-1
