Metric,Value
CaseId,case_000183
Transcript,Sweden has the highest number of mobile phone subscriptions per capita in the world.
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.2149
EstimatedTextDurationSec,3.10566
AudioDurationSec,4.21688
EffectiveSegmentScaleMax,1.3169
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0403897
MaxVisiblePoseGapSec,0.133333
VisiblePoseGapCountOver250ms,0
