word_index,word,start,end,speech_region_index,sentence_index
0,i've,0.580000,0.870000,0,-1
1,been,0.870000,1.060000,0,-1
2,reviewing,1.060000,1.560000,0,-1
3,the,1.560000,1.640000,0,-1
4,details,1.640000,2.240000,0,-1
5,of,2.240000,2.400000,0,-1
6,the,2.400000,2.480000,0,-1
7,kentucky,2.480000,3.000000,0,-1
8,deal,3.000000,3.390000,0,-1
9,found,4.510000,4.940000,1,-1
10,a,4.940000,4.980000,1,-1
11,few,4.980000,5.290000,1,-1
12,issues,5.340000,5.850000,1,-1
13,we,5.850000,5.980000,1,-1
14,need,5.980000,6.230000,1,-1
15,to,6.230000,6.350000,1,-1
16,address,6.350000,6.980000,1,-1
