word_index,word,start,end,speech_region_index,sentence_index
0,the,0.470000,0.560000,0,-1
1,chosen,0.560000,1.050000,0,-1
2,one,1.050000,1.340000,0,-1
3,the,1.340000,1.420000,0,-1
4,villain,1.420000,1.780000,0,-1
5,with,1.780000,1.920000,0,-1
6,a,1.920000,1.950000,0,-1
7,heart,1.950000,2.380000,0,-1
8,and,2.740000,2.870000,1,-1
9,the,2.870000,2.960000,1,-1
10,unlikely,3.000000,3.480000,1,-1
11,friendship,3.480000,4.010000,1,-1
12,classics,4.630000,5.200000,2,-1
13,you,5.200000,5.280000,2,-1
14,know,5.280000,5.560000,2,-1
