Metric,Value
CaseId,case_000107
Transcript,Did you know the Liberty Bell in Philadelphia can't actually ring? It's too old and cracked.
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.07729
EstimatedTextDurationSec,3.88282
AudioDurationSec,5.41687
EffectiveSegmentScaleMax,1.24143
ScaleCapHitCount,0
CommitLeadMeanSec,0.0145953
MaxVisiblePoseGapSec,0.216666
VisiblePoseGapCountOver250ms,0
