Metric,Value
CaseId,case_000187
Transcript,"Georgia is home to the Signagi Bridge, the oldest suspension bridge in the world."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.6978
EstimatedTextDurationSec,3.11502
AudioDurationSec,4.45687
EffectiveSegmentScaleMax,1.20416
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00864684
MaxVisiblePoseGapSec,0.25
VisiblePoseGapCountOver250ms,0
