EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,22_MBP,MBP,bogota,0,0,0,0.0346923,0.0327961,1,SimpleBudgetV1
1,09_Oh,OOO,bogota,0,0,0.0173462,0.0615,0.0745367,0.82,SimpleBudgetV1
2,24_Tongue_Th,FVS,bogota,0,0,0.0646538,0.0993461,0.155036,0.42,SimpleBudgetV1
3,07_Aa,AAA,bogota,0,0,0.0504615,0.132462,0.172925,0.86,SimpleBudgetV1
4,07_Aa,AAA,bogota,0,0,0.105654,0.152962,0.24448,0.86,SimpleBudgetV1
5,07_Aa,AAA,has,1,0,0.186077,0.209615,0.374065,0.86,SimpleBudgetV1
6,24_Tongue_Th,FVS,the,2,0,0.230385,0.244231,0.448674,0.42,SimpleBudgetV1
7,06_Eh,EEE,the,2,0,0.257385,0.282308,0.510194,0.74,SimpleBudgetV1
8,07_Aa,AAA,largest,3,0,0.305582,0.341121,0.611357,0.86,SimpleBudgetV1
9,07_Aa,AAA,largest,3,0,0.336769,0.402769,0.699118,0.86,SimpleBudgetV1
10,22_MBP,MBP,public,4,0,0.420538,0.451,0.823903,1,SimpleBudgetV1
11,18_Uh,AAA,public,4,0,0.437038,0.472577,0.859899,0.68,SimpleBudgetV1
12,04_Ih,EEE,public,4,0,0.463692,0.529692,0.939089,0.242842,SimpleBudgetV1
13,22_MBP,MBP,park,5,0,0.548077,0.571154,1.05806,1,SimpleBudgetV1
14,07_Aa,AAA,park,5,0,0.580769,0.630769,1.14532,0.86,SimpleBudgetV1
15,04_Ih,EEE,in,6,0,0.674538,0.698077,1.29759,0.511114,SimpleBudgetV1
16,09_Oh,OOO,south,7,0,0.746154,0.796154,1.45801,0.82,SimpleBudgetV1
17,24_Tongue_Th,FVS,south,7,0,0.771154,0.794231,1.47983,0.42,SimpleBudgetV1
18,07_Aa,AAA,america,8,0,0.800231,0.853,1.56287,0.86,SimpleBudgetV1
19,22_MBP,MBP,america,8,0,0.829308,0.874538,1.61072,1,SimpleBudgetV1
20,10_Or,OOO,america,8,0,0.883154,0.935923,1.71965,0.22,SimpleBudgetV1
21,07_Aa,AAA,america,8,0,0.871846,0.969846,1.74103,0.86,SimpleBudgetV1
22,07_Aa,AAA,america,8,0,0.937808,0.994346,1.82655,0.86,SimpleBudgetV1
