PlaybackSec,EventIndex,PoseID,SourceWord,CommittedCenterSec,SubmittedWeight,SourceStrength
0.283333,0,05_Ay,i,0.312992,0.0150692,0.84
0.3,0,05_Ay,i,0.312992,0.84,0.84
0.316667,0,05_Ay,i,0.312992,0.84,0.84
0.333333,0,05_Ay,i,0.312992,0.839581,0.84
0.35,0,05_Ay,i,0.312992,0.822896,0.84
0.366667,0,05_Ay,i,0.312992,0.765995,0.84
0.383333,0,05_Ay,i,0.312992,0.663643,0.84
0.4,0,05_Ay,i,0.312992,0.525785,0.84
0.416667,0,05_Ay,i,0.312992,0.371893,0.84
0.433333,0,05_Ay,i,0.312992,0.3528,0.84
0.45,0,05_Ay,i,0.312992,0.3528,0.84
0.466667,0,05_Ay,i,0.312992,0.0332569,0.84
0.483334,0,05_Ay,i,0.312992,0.00314471,0.84
0.483334,1,06_Eh,remember,0.509504,0.145099,0.74
0.5,1,06_Eh,remember,0.509504,0.74,0.74
0.516667,1,06_Eh,remember,0.509504,0.74,0.74
0.533333,1,06_Eh,remember,0.509504,0.698466,0.74
0.533333,2,22_MBP,remember,0.582644,0.336884,1
0.55,1,06_Eh,remember,0.509504,0.136368,0.74
0.55,2,22_MBP,remember,0.582644,1,1
0.566667,1,06_Eh,remember,0.509504,0.0058246,0.74
0.566667,2,22_MBP,remember,0.582644,1,1
0.583333,2,22_MBP,remember,0.582644,1,1
0.6,2,22_MBP,remember,0.582644,1,1
0.616667,2,22_MBP,remember,0.582644,1,1
0.616667,3,10_Or,remember,0.697183,0.0304508,0.22
0.633333,2,22_MBP,remember,0.582644,0.893427,1
0.633333,3,10_Or,remember,0.697183,0.360144,0.22
0.65,2,22_MBP,remember,0.582644,0.489872,1
0.65,3,10_Or,remember,0.697183,0.720386,0.22
0.666667,2,22_MBP,remember,0.582644,0.095332,1
0.666667,3,10_Or,remember,0.697183,0.921294,0.22
0.683333,3,10_Or,remember,0.697183,0.94,0.22
0.7,3,10_Or,remember,0.697183,0.94,0.22
0.7,4,06_Eh,remember,0.730303,0.141721,0.74
0.716667,3,10_Or,remember,0.697183,0.94,0.22
0.716667,4,06_Eh,remember,0.730303,0.74,0.74
0.733333,3,10_Or,remember,0.697183,0.402698,0.22
