Metric,Value
CaseId,case_000015
Transcript,I remember the time I accidentally locked myself in the bodega with a box of donuts. Talk about a sweet surprise!
PlannedEventCount,47
CommittedEventCount,47
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.3199
EstimatedTextDurationSec,5.17229
AudioDurationSec,6.77688
EffectiveSegmentScaleMax,1.42
ScaleCapHitCount,0
CommitLeadMeanSec,0.0555211
MaxVisiblePoseGapSec,0.846645
VisiblePoseGapCountOver250ms,1
