index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,22_MBP,barbados,0,0,0,0.012650,1.000000,B,0,cmu_bilabial
1,07_Aa,barbados,0,0,0,0.037500,0.500000,AA,1,cmu_open_vowel
2,06_Eh,barbados,0,0,0,0.112500,0.920000,EY,4,cmu_eh_vowel
3,09_Oh,barbados,0,0,0,0.162500,0.500000,OW,6,cmu_oh_vowel
4,05_Ay,is,1,0,0,0.220000,0.940000,AY,0,cmu_ay
5,20_FV,famous,2,0,0,0.292000,0.960000,F,0,cmu_fv
6,06_Eh,famous,2,0,0,0.316000,0.920000,EY,1,cmu_eh_vowel
7,22_MBP,famous,2,0,0,0.340000,1.000000,M,2,cmu_bilabial
8,20_FV,for,3,0,0,0.413333,0.960000,F,0,cmu_fv
9,09_Oh,for,3,0,0,0.440000,0.920000,AO,1,cmu_oh_vowel
10,03_Ee,its,4,0,0,0.493333,0.920000,IH,0,cmu_front_vowel
11,22_MBP,beaches,5,0,0,0.572000,1.000000,B,0,cmu_bilabial
12,03_Ee,beaches,5,0,0,0.596000,0.920000,IY,1,cmu_front_vowel
13,14_ChJjSh,beaches,5,0,0,0.620000,0.820000,CH,2,cmu_affricate_sibilant
14,07_Aa,and,6,0,0,0.693333,0.500000,AH,0,cmu_open_vowel
15,07_Aa,hospitality,7,0,0,0.792727,0.920000,AA,1,cmu_open_vowel
16,22_MBP,hospitality,7,0,0,0.836364,1.000000,P,3,cmu_bilabial
17,07_Aa,hospitality,7,0,0,0.901818,0.920000,AE,6,cmu_open_vowel
18,03_Ee,hospitality,7,0,0,0.987600,0.500000,IY,10,cmu_front_vowel
