Metric,Value
CaseId,case_000137
Transcript,"South Sudan is the youngest independent nation in the world, gaining its independence in 2011."
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.0827
EstimatedTextDurationSec,7.93548
AudioDurationSec,5.97687
EffectiveSegmentScaleMax,1.30961
ScaleCapHitCount,0
CommitLeadMeanSec,0.0810372
MaxVisiblePoseGapSec,1.03334
VisiblePoseGapCountOver250ms,1
