Metric,Value
CaseId,case_000118
Transcript,"Suriname is known for its vibrant mix of Dutch, Indian, Javanese, and Maroon cultures."
PlannedEventCount,31
CommittedEventCount,31
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.8612
EstimatedTextDurationSec,4.01735
AudioDurationSec,6.13688
EffectiveSegmentScaleMax,1.56097
ScaleCapHitCount,0
CommitLeadMeanSec,0.0275606
MaxVisiblePoseGapSec,0.783342
VisiblePoseGapCountOver250ms,1
