metric,count,mean,median,min,max,p90,stddev
AudioDurationSec,290,4.05357,3.85687,1.57687,13.4969,5.81687,1.36219
CommitLeadMeanSec,290,0.0554196,0.0461668,-0.246848,0.726382,0.13009,0.108298
CommittedEventCount,290,25.0586,24,8,83,36,8.74505
EffectiveSegmentScaleMax,290,1.2707,1.26781,1,1.78524,1.44447,0.141655
EstimatedTextDurationSec,290,3.36428,2.77061,1.08117,12.0352,5.61154,1.8571
MaxVisiblePoseGapSec,290,0.369541,0.301669,0.0166667,1.27667,0.716666,0.250057
MissingCommittedEventCount,290,0,0,0,0,0,0
MissingPeakCount,290,0,0,0,0,0,0
MonotonicityViolations,290,0,0,0,0,0,0
PeakTimingMAEMs,290,10.2774,10.26,5.79188,15.1409,12.2054,1.63678
PlannedEventCount,290,25.0586,24,8,83,36,8.74505
ScaleCapHitCount,290,0,0,0,0,0,0
VisiblePoseGapCountOver250ms,290,0.806897,1,0,5,2,0.930677
WeakPeakCount,290,0.0793103,0,0,1,0,0.270223
WeakPeakRate,290,0.00291891,0,0,0.0588235,0,0.010417
