case_id,AudioDurationSec,CommitLeadMeanSec,CommittedEventCount,EffectiveSegmentScaleMax,EstimatedTextDurationSec,MaxVisiblePoseGapSec,MissingCommittedEventCount,MissingPeakCount,MonotonicityViolations,PeakTimingMAEMs,PlannedEventCount,ScaleCapHitCount,Transcript,VisiblePoseGapCountOver250ms,WeakPeakCount,WeakPeakRate
case_000000,4.61688,0.0520124,31,1.1292,5.37214,0.599999,0,0,0,13.0516,31,0,"Welcome to Alfie's Bodega. I'm Alfie, your friendly neighborhood shopkeeper.",2,0,0
case_000001,3.09687,-0.0890983,18,1.09957,2.47225,0.183333,0,0,0,11.4935,18,0,"Nice to meet you, Matthew. What can I get for you today?",0,0,0
case_000002,2.37687,0.12494,13,1.26247,1.68883,0.183333,0,0,0,8.3181,13,0,I see. Let me check on that right away.,0,0,0
case_000003,5.01687,0.0121398,33,1.5,4.76394,0.150002,0,0,0,10.3588,33,0,"I can't give you a sandwich for free, Matthew. But I can make you one. What would you like on it?",0,0,0
case_000004,3.57687,0.00103472,24,1.20344,3.05303,0.466666,0,0,0,14.0073,24,0,"I'll make you a ham sandwich, Matthew. But remember, no freebies.",1,0,0
case_000005,3.89687,-0.0214013,25,1.44206,2.97791,0.166667,0,0,0,11.1012,25,0,"No freebies, Matthew. But how about a discount on your next visit?",0,0,0
case_000006,4.13688,0.103138,33,1.45209,4.37877,0.25,0,0,0,11.2567,33,0,"I won't give you a free sandwich, Matthew. But I'll make sure to check the bathroom right now.",0,0,0
case_000007,3.25688,0.0183039,15,1.70875,2.68885,0.303335,0,0,0,8.67885,15,0,"I'll take a look right away, Matthew. Stay here, please.",1,0,0
case_000008,3.89687,0.0481545,24,1.32491,3.58415,0.166667,0,0,0,9.22759,24,0,"I appreciate the offer, Matthew, but I can handle it. Stay safe, though.",0,0,0
case_000009,3.01688,-0.0309488,18,1.44079,2.05361,0.166667,0,0,0,11.7602,18,0,"I might consider it, Matthew. But no free food.",0,0,0
case_000010,2.69688,0.0865193,21,1.01829,2.23417,0.0999999,0,0,0,10.5199,21,0,Welcome to Alfie's Bodega. How can I help you today?,0,0,0
case_000011,3.81687,0.0893136,23,1.13004,4.49064,0.2,0,0,0,9.0799,23,0,Why don't scientists trust atoms? Because they make up everything.,0,0,0
case_000012,3.81687,-0.0446788,25,1.78524,3.20242,0.25,0,0,0,8.06752,25,0,"Alright, let's keep it serious. What kind of sandwich are you in the mood for?",0,0,0
case_000013,4.05688,-0.0118065,24,1.07084,2.67444,0.216666,0,0,0,8.85564,24,0,Why did the tomato turn red? Because it saw the salad dressing!,0,0,0
case_000014,4.05688,0.00242554,27,1.30682,3.23546,0.25,0,0,0,11.9479,27,0,Why don't some couples go to the gym? Because some relationships don't work out!,0,0,0
case_000015,6.77688,0.0555211,47,1.42,5.17229,0.846645,0,0,0,11.3199,47,0,I remember the time I accidentally locked myself in the bodega with a box of donuts. Talk about a sweet surprise!,1,0,0
case_000016,9.09688,0.0247233,60,1.23866,8.2537,0.500007,0,0,0,9.85578,60,0,"There was this regular customer who always got the turkey sandwich. One day, he didn't come back. I found out he moved away. It felt like losing a part of the bodega.",1,0,0
case_000017,13.4969,-0.0248705,83,1.2291,12.0352,0.566658,0,0,0,9.74865,83,0,"One day, a little girl came in with her grandpa. He ordered the usual, but she just wanted to look around. She found a book about stars and asked if she could read it. Her grandpa said it was okay. I'll never forget how peaceful they looked together.",3,1,0.0120482
