case_id,MissingCommittedEventCount,MissingPeakCount,MonotonicityViolations,VisiblePoseGapCountOver250ms,MaxVisiblePoseGapSec,ScaleCapHitCount,EffectiveSegmentScaleMax,WeakPeakRate,PeakTimingMAEMs,CommitLeadMeanSec
case_000144,0,0,0,5,0.983346,0,1.35,0,12.0142,0.264117
case_000202,0,0,0,5,0.516666,0,1.30381,0,9.60477,0.46009
case_000056,0,0,0,4,0.816678,0,1.5,0.0243902,9.00261,0.0833288
case_000220,0,0,0,4,0.53334,0,1.42,0,10.6559,0.726382
case_000125,0,0,0,3,0.966676,0,1.28476,0,9.03161,0.0917609
case_000060,0,0,0,3,0.75001,0,1.5,0,10.2386,0.0982111
case_000268,0,0,0,3,0.683336,0,1.27188,0,10.6818,-0.0120769
case_000043,0,0,0,3,0.649999,0,1.32087,0,9.98103,0.0567491
case_000255,0,0,0,3,0.633333,0,1,0,9.62221,-0.00462367
case_000037,0,0,0,3,0.566666,0,1.18801,0,11.3696,0.0729116
case_000017,0,0,0,3,0.566658,0,1.2291,0.0120482,9.74865,-0.0248705
case_000064,0,0,0,3,0.55,0,1.31532,0,11.3187,0.323552
case_000087,0,0,0,3,0.533334,0,1.12504,0,9.63899,0.070082
case_000199,0,0,0,3,0.523329,0,1.3875,0,9.32061,0.0384555
case_000147,0,0,0,3,0.513327,0,1.42,0,12.1068,0.483942
case_000284,0,0,0,3,0.466666,0,1.34913,0,8.43586,0.197681
case_000142,0,0,0,3,0.416666,0,1.38,0,11.2532,0.519189
case_000124,0,0,0,3,0.4,0,1.29488,0,8.84459,0.234798
case_000103,0,0,0,3,0.333333,0,1.23487,0,10.0979,0.0442884
case_000094,0,0,0,2,0.933336,0,1,0.04,12.9982,0.0725251
case_000212,0,0,0,2,0.896656,0,1.35931,0,11.1859,0.0679653
case_000203,0,0,0,2,0.883345,0,1.3725,0,9.29588,-0.0425918
case_000121,0,0,0,2,0.763336,0,1.13,0,10.393,0.0671411
case_000201,0,0,0,2,0.75001,0,1.395,0,9.90265,0.0841739
case_000215,0,0,0,2,0.733333,0,1.27776,0,12.0015,0.0246684
