Metric,Value
CaseId,case_000039
Transcript,Wealthy? Not really. Just enough to keep the bodega running smoothly.
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,7.9925
EstimatedTextDurationSec,3.04347
AudioDurationSec,4.05688
EffectiveSegmentScaleMax,1.31969
ScaleCapHitCount,0
CommitLeadMeanSec,0.00340295
MaxVisiblePoseGapSec,0.183333
VisiblePoseGapCountOver250ms,0
