EventIndex,PoseID,Viseme,SourceWord,WordIndex,PhraseIndex,StartNorm,EndNorm,TextCenterSec,Strength,Generator
0,03_Ee,EEE,hungary,0,0,0.00807087,0.0500394,0.0509079,0.86,SimpleBudgetV1
1,10_Or,OOO,hungary,0,0,0.0613386,0.106535,0.147067,0.22,SimpleBudgetV1
2,03_Ee,EEE,hungary,0,0,0.0516535,0.135591,0.164036,0.86,SimpleBudgetV1
3,03_Ee,EEE,hungary,0,0,0.10815,0.156575,0.231914,0.86,SimpleBudgetV1
4,04_Ih,EEE,is,1,0,0.190472,0.214567,0.354837,0.428467,SimpleBudgetV1
5,06_Eh,EEE,home,2,0,0.26378,0.314961,0.507009,0.74,SimpleBudgetV1
6,22_MBP,MBP,home,2,0,0.281988,0.30561,0.514769,1,SimpleBudgetV1
7,11_Oo,OOO,to,3,0,0.361181,0.38811,0.656422,0.94,SimpleBudgetV1
8,24_Tongue_Th,FVS,the,4,0,0.405118,0.419291,0.722229,0.42,SimpleBudgetV1
9,06_Eh,EEE,the,4,0,0.432756,0.458268,0.780587,0.74,SimpleBudgetV1
10,07_Aa,AAA,largest,5,0,0.482092,0.51847,0.876549,0.86,SimpleBudgetV1
11,07_Aa,AAA,largest,5,0,0.514016,0.581575,0.959799,0.86,SimpleBudgetV1
12,09_Oh,OOO,hot,6,0,0.633858,0.685039,1.15543,0.82,SimpleBudgetV1
13,22_MBP,MBP,spring,7,0,0.713583,0.737205,1.27097,1,SimpleBudgetV1
14,04_Ih,EEE,spring,7,0,0.732283,0.783465,1.32788,0.224587,SimpleBudgetV1
15,04_Ih,EEE,in,8,0,0.828268,0.852362,1.47233,0.22,SimpleBudgetV1
16,06_Eh,EEE,europe,9,0,0.873543,0.909921,1.56242,0.74,SimpleBudgetV1
17,06_Eh,EEE,europe,9,0,0.911654,0.979213,1.65651,0.74,SimpleBudgetV1
18,22_MBP,MBP,europe,9,0,0.951929,0.98311,1.6952,1,SimpleBudgetV1
