Metric,Value
CaseId,case_000201
Transcript,Kyrgyzstan is known for its beautiful lakes and the Ala-Too Mountains. How can I assist you today?
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.90265
EstimatedTextDurationSec,8.27316
AudioDurationSec,6.21688
EffectiveSegmentScaleMax,1.395
ScaleCapHitCount,0
CommitLeadMeanSec,0.0841739
MaxVisiblePoseGapSec,0.75001
VisiblePoseGapCountOver250ms,2
