word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,we've,0.170000,0.350000,0,-1,-1
1,got,0.350000,0.580000,0,-1,-1
2,sandwiches,0.580000,1.110000,0,-1,-1
3,for,1.110000,1.240000,0,-1,-1
4,five,1.240000,1.580000,0,-1,-1
5,dollars,1.580000,1.990000,0,-1,-1
6,and,1.990000,2.100000,0,-1,-1
7,chips,2.100000,2.390000,0,-1,-1
8,for,2.390000,2.520000,0,-1,-1
9,two,2.520000,2.890000,0,-1,-1
10,what'll,3.250000,3.550000,1,-1,-1
11,it,3.550000,3.670000,1,-1,-1
12,be,3.670000,3.940000,1,-1,-1
