Metric,Value
CaseId,case_000240
Transcript,"Hanoi has the Ho Chi Minh Mausoleum, very respectful and moving."
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.7666
EstimatedTextDurationSec,4.57632
AudioDurationSec,4.21688
EffectiveSegmentScaleMax,1.16028
ScaleCapHitCount,0
CommitLeadMeanSec,-0.0335007
MaxVisiblePoseGapSec,0.666666
VisiblePoseGapCountOver250ms,1
