Metric,Value
CaseId,case_000135
Transcript,Sudan is known for its rich history and the pyramids at Meroe.
PlannedEventCount,22
CommittedEventCount,22
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,1
WeakPeakRate,0.0454545
PeakTimingMAEMs,9.82818
EstimatedTextDurationSec,2.17037
AudioDurationSec,3.57687
EffectiveSegmentScaleMax,1.3918
ScaleCapHitCount,0
CommitLeadMeanSec,0.0307671
MaxVisiblePoseGapSec,0.116667
VisiblePoseGapCountOver250ms,0
