Metric,Value
CaseId,case_000004
Transcript,"I'll make you a ham sandwich, Matthew. But remember, no freebies."
PlannedEventCount,24
CommittedEventCount,24
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,14.0073
EstimatedTextDurationSec,3.05303
AudioDurationSec,3.57687
EffectiveSegmentScaleMax,1.20344
ScaleCapHitCount,0
CommitLeadMeanSec,0.00103472
MaxVisiblePoseGapSec,0.466666
VisiblePoseGapCountOver250ms,1
