ArrayIndex,EventIndex,PoseID,SourceWord,WordIndex,PhraseIndex,TextCenterSec,CommittedPlaybackCenterSec,RenderStartSec,RenderEndSec,Strength,CommitLeadSec,CommitHorizonSec,EffectiveSegmentScale
0,0,04_Ih,did,0,0,0.234268,0.674923,0.587423,0.762423,0.64,0.0749227,0.09,1.38
1,1,11_Oo,you,1,0,0.630099,1.21075,1.12325,1.29825,1,0.0611702,0.09,1.38
2,2,09_Oh,know,2,0,1.04209,1.76274,1.67524,1.85024,0.82,0.0697137,0.09,1.38
3,3,20_FV,france,3,0,1.2602,2.09071,2.02382,2.15759,1,0.0507076,0.09,1.38
4,4,07_Aa,france,3,0,1.446,2.23071,2.14321,2.31821,0.94,0.0707078,0.09,1.38
5,5,04_Ih,is,4,0,1.78431,2.70902,2.6408,2.77725,0.54,0.0539842,0.09,1.38
6,6,12_Ww-Oo-,where,5,0,1.963,3.02771,2.94021,3.11521,1,0.0605762,0.09,1.38
7,7,06_Eh,where,5,0,2.14072,3.16771,3.08021,3.25521,0.74,0.0877132,0.09,1.38
8,8,24_Tongue_Th,the,6,0,2.35399,3.60013,3.56,3.64027,0.42,-0.386742,0.15,1.38
9,9,06_Eh,the,6,0,2.49067,3.74013,3.6679,3.81237,0.74,-0.246742,0.15,1.38
10,10,20_FV,first,7,0,2.64965,4.00815,3.94126,4.07503,1,0.0212712,0.15,1.38
11,11,04_Ih,first,7,0,2.83545,4.14815,4.06065,4.23565,0.64,0.161271,0.15,1.38
12,12,22_MBP,mcdonald's,8,0,3.06487,4.51757,4.43007,4.60507,1,0.594274,0.15,1.38
13,13,14_ChJjSh,mcdonald's,8,0,3.32789,4.65757,4.57007,4.74507,0.703,0.734274,0.15,1.38
14,14,07_Aa,mcdonald's,8,0,3.3518,4.74648,4.65898,4.83398,0.86,0.832272,0.15,1.38
15,15,07_Aa,mcdonald's,8,0,3.49527,4.88648,4.79898,4.97398,0.86,0.95,0.15,1.38
16,16,20_FV,franchise,9,0,3.67461,4.98171,4.89421,5.06921,1,0.994834,0.15,1.38
17,17,07_Aa,franchise,9,0,3.76893,5.01472,4.92722,5.10222,0.86,1.02785,0.15,1.38
18,18,14_ChJjSh,franchise,9,0,3.90841,5.05472,4.96722,5.14222,0.663211,1.06785,0.15,1.38
19,19,07_Aa,franchise,9,0,3.94959,5.06913,4.98163,5.15663,0.86,1.08226,0.15,1.38
20,20,04_Ih,franchise,9,0,4.03461,5.09889,5.01139,5.18639,0.72,1.11202,0.15,1.38
21,21,07_Aa,started,10,0,4.39107,5.16889,5.08139,5.25639,0.86,1.18202,0.15,1.38
22,22,07_Aa,started,10,0,4.50989,5.20889,5.12139,5.29639,0.86,1.22202,0.15,1.38
23,23,06_Eh,started,10,0,4.61957,5.24728,5.15978,5.33478,0.74,1.2604,0.15,1.38
