word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,add,0.260000,0.510000,0,-1,-1
1,some,0.510000,0.730000,0,-1,-1
2,heat,0.730000,1.340000,0,-1,-1
3,or,1.440000,1.640000,0,-1,-1
4,a,1.640000,1.700000,0,-1,-1
5,dollop,1.700000,2.220000,0,-1,-1
6,of,2.220000,2.340000,0,-1,-1
7,mayo,2.340000,2.870000,0,-1,-1
8,sometimes,3.480000,4.200000,1,-1,-1
9,a,4.240000,4.300000,1,-1,-1
10,simple,4.300000,4.680000,1,-1,-1
11,fix,4.680000,5.100000,1,-1,-1
12,works,5.100000,5.540000,1,-1,-1
13,wonders,5.540000,6.270000,1,-1,-1
