index,start,center,end,pose,word,word_index,phrase_index,sentence_index,strength,reason,alignment_reason,source_phone_class,mapped_to_observed_speech
0,0.502400,0.549900,0.597400,14_ChJjSh,chad,0,0,0,0.820000,streaming_forced_alignment,streaming_forced_alignment_viterbi,sibilant,1
1,0.541500,0.609000,0.676500,07_Aa,chad,0,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
2,0.661500,0.729000,0.796500,07_Aa,has,1,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
3,0.800000,0.850000,0.900000,20_FV,vast,2,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
4,0.911500,0.979000,1.046500,07_Aa,vast,2,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
5,1.196500,1.264000,1.331500,06_Eh,deserts,3,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
6,1.646500,1.714000,1.781500,07_Aa,and,4,0,0,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
7,1.891500,1.959000,2.026500,03_Ee,interesting,5,0,0,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
8,2.521500,2.589000,2.656500,12_Ww-Oo-,wildlife,6,0,0,0.880000,streaming_forced_alignment,streaming_forced_alignment_viterbi,glide,1
9,2.594000,2.649000,2.704000,05_Ay,wildlife,6,0,0,0.940000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_open,1
10,2.980000,3.030000,3.080000,20_FV,wildlife,6,0,0,0.960000,streaming_forced_alignment,streaming_forced_alignment_viterbi,labiodental,1
11,3.726500,3.794000,3.861500,03_Ee,need,7,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
12,3.811500,3.879000,3.946500,06_Eh,anything,8,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
13,3.911500,3.979000,4.046500,03_Ee,anything,8,1,1,0.580000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
14,4.246500,4.314000,4.381500,06_Eh,else,9,1,1,0.920000,streaming_forced_alignment,streaming_forced_alignment_viterbi,vowel_front,1
