Metric,Value
CaseId,case_000207
Transcript,Thailand is known for its temples and delicious cuisine. What can I offer you today?
PlannedEventCount,28
CommittedEventCount,28
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.82251
EstimatedTextDurationSec,3.43451
AudioDurationSec,5.01687
EffectiveSegmentScaleMax,1.19334
ScaleCapHitCount,0
CommitLeadMeanSec,0.0221746
MaxVisiblePoseGapSec,0.183336
VisiblePoseGapCountOver250ms,0
