Metric,Value
CaseId,case_000166
Transcript,Poland is the birthplace of the chocolate cookie known as the Paczki.
PlannedEventCount,29
CommittedEventCount,29
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,8.53805
EstimatedTextDurationSec,5.04252
AudioDurationSec,3.89687
EffectiveSegmentScaleMax,1.4175
ScaleCapHitCount,0
CommitLeadMeanSec,0.429784
MaxVisiblePoseGapSec,0.266666
VisiblePoseGapCountOver250ms,1
