Metric,Value
CaseId,case_000202
Transcript,"Kazakhstan is vast, with the Kazakh Steppes and the Tian Shan mountains. How can I help you today?"
PlannedEventCount,36
CommittedEventCount,36
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,9.60477
EstimatedTextDurationSec,8.27316
AudioDurationSec,5.81687
EffectiveSegmentScaleMax,1.30381
ScaleCapHitCount,0
CommitLeadMeanSec,0.46009
MaxVisiblePoseGapSec,0.516666
VisiblePoseGapCountOver250ms,5
