word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,dominica,0.160000,0.810000,0,-1,-1
1,has,0.810000,1.020000,0,-1,-1
2,stunning,1.020000,1.570000,0,-1,-1
3,waterfalls,1.570000,2.270000,0,-1,-1
4,and,2.270000,2.420000,0,-1,-1
5,tropical,2.420000,2.950000,0,-1,-1
6,rainforests,2.950000,3.820000,0,-1,-1
7,want,4.530000,4.800000,1,-1,-1
8,a,4.800000,4.840000,1,-1,-1
9,break,4.840000,5.170000,1,-1,-1
10,from,5.170000,5.350000,1,-1,-1
11,geography,5.350000,6.040000,1,-1,-1
