Metric,Value
CaseId,case_000065
Transcript,"We get a steady stream, mostly during lunchtime. How about I make you that spicy sandwich?"
PlannedEventCount,35
CommittedEventCount,35
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,11.014
EstimatedTextDurationSec,4.14855
AudioDurationSec,5.97687
EffectiveSegmentScaleMax,1.13968
ScaleCapHitCount,0
CommitLeadMeanSec,0.0670957
MaxVisiblePoseGapSec,0.566666
VisiblePoseGapCountOver250ms,2
