Metric,Value
CaseId,case_000061
Transcript,A good meal can certainly help. Want to try our special today? It's packed with flavor.
PlannedEventCount,32
CommittedEventCount,32
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,10.1274
EstimatedTextDurationSec,4.14358
AudioDurationSec,5.57688
EffectiveSegmentScaleMax,1
ScaleCapHitCount,0
CommitLeadMeanSec,0.0234924
MaxVisiblePoseGapSec,0.466669
VisiblePoseGapCountOver250ms,1
