word_index,word,start,end,speech_region_index,sentence_index
0,our,0.600000,0.720000,0,-1
1,first,0.720000,1.080000,0,-1
2,design,1.080000,1.500000,0,-1
3,was,1.500000,1.640000,0,-1
4,elegant,1.690000,2.130000,0,-1
5,but,2.130000,2.250000,0,-1
6,fragile,2.250000,2.800000,0,-1
7,the,3.380000,3.460000,1,-1
8,second,3.460000,3.850000,1,-1
9,was,3.850000,3.980000,1,-1
10,strong,3.980000,4.530000,1,-1
11,but,4.530000,4.700000,1,-1
12,expensive,4.700000,5.400000,1,-1
13,after,6.170000,6.410000,2,-1
14,several,6.410000,6.740000,2,-1
15,careful,6.740000,7.080000,2,-1
16,tests,7.080000,7.640000,2,-1
17,the,7.880000,7.960000,3,-1
18,team,7.960000,8.210000,3,-1
19,produced,8.210000,8.530000,3,-1
20,a,8.530000,8.580000,3,-1
21,simpler,8.580000,9.000000,3,-1
22,version,9.000000,9.380000,3,-1
23,that,9.380000,9.510000,3,-1
24,was,9.510000,9.630000,3,-1
25,both,9.630000,9.890000,3,-1
26,reliable,9.890000,10.480000,3,-1
27,and,10.560000,10.770000,3,-1
28,affordable,10.770000,11.360000,3,-1
