word_index,word,start,end,speech_region_index,phrase_index,sentence_index
0,she's,0.000000,0.320000,0,-1,-1
1,always,0.320000,0.740000,0,-1,-1
2,busy,0.740000,1.230000,0,-1,-1
3,but,1.340000,1.460000,0,-1,-1
4,if,1.460000,1.560000,0,-1,-1
5,she,1.560000,1.710000,0,-1,-1
6,takes,1.710000,2.000000,0,-1,-1
7,a,2.000000,2.040000,0,-1,-1
8,break,2.040000,2.500000,0,-1,-1
9,she,2.620000,2.840000,0,-1,-1
10,might,2.840000,3.050000,0,-1,-1
11,join,3.050000,3.320000,0,-1,-1
12,you,3.320000,3.500000,0,-1,-1
