index,pose,word,word_index,phrase_index,sentence_index,text_center_norm,strength,source_phone,source_phone_index,generator
0,07_Aa,azerbaijan,0,0,0,0.017857,0.920000,AA,0,cmu_open_vowel
1,22_MBP,azerbaijan,0,0,0,0.125000,1.000000,B,3,cmu_bilabial
2,05_Ay,azerbaijan,0,0,0,0.160714,0.680000,AY,4,cmu_ay
3,14_ChJjSh,azerbaijan,0,0,0,0.196429,0.820000,JH,5,cmu_affricate_sibilant
4,07_Aa,azerbaijan,0,0,0,0.232143,0.920000,AA,6,cmu_open_vowel
5,07_Aa,has,1,0,0,0.333333,0.920000,AE,1,cmu_open_vowel
6,07_Aa,the,2,0,0,0.452381,0.500000,AH,1,cmu_open_vowel
7,12_Ww-Oo-,world's,3,0,0,0.485714,0.880000,W,0,cmu_w
8,06_Eh,world's,3,0,0,0.504762,0.920000,ER,1,cmu_eh_vowel
9,20_FV,first,4,0,0,0.583333,0.960000,F,0,cmu_fv
10,06_Eh,first,4,0,0,0.607143,0.920000,ER,1,cmu_eh_vowel
11,22_MBP,mud,5,0,0,0.682540,1.000000,M,0,cmu_bilabial
12,07_Aa,mud,5,0,0,0.714286,0.920000,AH,1,cmu_open_vowel
13,20_FV,volcano,6,0,0,0.778912,0.960000,V,0,cmu_fv
14,07_Aa,volcano,6,0,0,0.812925,0.500000,AA,1,cmu_open_vowel
15,06_Eh,volcano,6,0,0,0.914966,0.920000,EY,4,cmu_eh_vowel
16,09_Oh,volcano,6,0,0,0.982993,0.500000,OW,6,cmu_oh_vowel
