Metric,Value
CaseId,case_000141
Transcript,"Niger is home to the Agadez Desert, one of the oldest deserts in the world."
PlannedEventCount,30
CommittedEventCount,30
MissingCommittedEventCount,0
MonotonicityViolations,0
MissingPeakCount,0
WeakPeakCount,0
WeakPeakRate,0
PeakTimingMAEMs,6.43014
EstimatedTextDurationSec,3.14429
AudioDurationSec,3.73688
EffectiveSegmentScaleMax,1.25547
ScaleCapHitCount,0
CommitLeadMeanSec,-0.00630685
MaxVisiblePoseGapSec,0.316666
VisiblePoseGapCountOver250ms,1
